Mumbai Suburban,"Area (in sq. km): 446
Literacy Rate (%): 89.91
Population : 93,56,962
Population Density (per sq. km): 20,980
Sex Ratio: 860
Urban Population (%): 100"
Nagpur,"Area (in sq. km): 9,892
Literacy Rate (%): 88.39
Population : 46,53,570
Population Density (per sq. km): 470
Sex Ratio: 951
Urban Population (%): 68.3"
Nanded,"Area (in sq. km): 10,528
Literacy Rate (%): 75.45
Population : 33,61,292
Population Density (per sq. km): 319
Sex Ratio: 943
Urban Population (%): 27.2"
Nandurbar,"Area (in sq. km): 5,955
Literacy Rate (%): 64.38
Population : 16,48,295
Population Density (per sq. km): 277
Sex Ratio: 978
Urban Population (%): 16.7"
Nashik,"Area (in sq. km): 15,530
Literacy Rate (%): 82.31
Population : 61,07,187
Population Density (per sq. km): 393
Sex Ratio: 934
Urban Population (%): 42.5"
Palghar,"Area (in sq. km): 5,344
Literacy Rate (%): 77
Population : 29,90,116
Population Density (per sq. km): 560
Sex Ratio: 932
Urban Population (%): 50.1"
Parbhani,"Area (in sq. km): 6,517
Literacy Rate (%): 73.34
Population : 18,36,086
Population Density (per sq. km): 282
Sex Ratio: 947
Urban Population (%): 31.8"
Pune,"Area (in sq. km): 15,643
Literacy Rate (%): 86.15
Population : 94,29,408
Population Density (per sq. km): 603
Sex Ratio: 915
Urban Population (%): 60.5"
Raigad,"Area (in sq. km): 7,152
Literacy Rate (%): 83.14
Population : 26,34,200
Population Density (per sq. km): 368
Sex Ratio: 959
Urban Population (%): 24.9"
Ratnagiri,"Area (in sq. km): 8,208
Literacy Rate (%): 82.43
Population : 16,15,069
Population Density (per sq. km): 197
Sex Ratio: 1,122
Urban Population (%): 16.3"
Sangli,"Area (in sq. km): 8,572
Literacy Rate (%): 81.48
Population : 28,22,143
Population Density (per sq. km): 329
Sex Ratio: 966
Urban Population (%): 25.5"
Satara,"Area (in sq. km): 10,480
Literacy Rate (%): 82.87
Population : 30,03,741
Population Density (per sq. km): 287
Sex Ratio: 988
Urban Population (%): 21.9"
Sindhudurg,"Area (in sq. km): 5,207
Literacy Rate (%): 85.56
Population : 8,49,651
Population Density (per sq. km): 163
Sex Ratio: 1,036
Urban Population (%): 12.6"
Solapur,"Area (in sq. km): 14,895
Literacy Rate (%): 77.02
Population : 43,17,756
Population Density (per sq. km): 290
Sex Ratio: 938
Urban Population (%): 32.4"
Thane,"Area (in sq. km): 4,214
Literacy Rate (%): 84.53
Population : 81,31,377
Population Density (per sq. km): 1,930
Sex Ratio: 886
Urban Population (%): 77"
Wardha,"Area (in sq. km): 6,309
Literacy Rate (%): 86.99
Population : 13,00,774
Population Density (per sq. km): 206
Sex Ratio: 946
Urban Population (%): 32.5"
Washim,"Area (in sq. km): 5,150
Literacy Rate (%): 83.25
Population : 11,97,160
Population Density (per sq. km): 232
Sex Ratio: 930
Urban Population (%): 17.7"
Yavatmal,"Area (in sq. km): 13,582
Literacy Rate (%): 82.82
Population : 27,72,348
Population Density (per sq. km): 204
Sex Ratio: 952
Urban Population (%): 21.6"
